Time	subj	trialNr	ground1	speed1	dist1	ground2	speed2	dist2	answ	rTime	Speed	Dist	speed_comparison	antwort	condition
49.7038607	1	2	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(6)	1.75	35	0	1.17682739999999	normal	long	fastslow	1	2
88.0650786	1	3	viz.VizPrimitive(6)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	0.25584520000001	normal	short	fastslow	1	1
162.7776891	1	6	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	0	0.577430800000002	normal	long	fastslow	1	2
200.5283588	1	7	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(6)	1.75	7	0	0.378136299999994	normal	short	fastslow	1	1
214.1224659	1	8	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(6)	0.35	7	0	0.555151200000012	slow	short	fastslow	1	0
251.8619105	1	9	viz.VizPrimitive(8)	1.75	7	viz.VizPrimitive(6)	3.5	7	1	0.232382500000028	normal	short	slowfast	1	1
265.300681	1	10	viz.VizPrimitive(6)	3.5	7	viz.VizPrimitive(8)	1.75	7	0	0.321965200000022	normal	short	fastslow	1	1
278.8281737	1	11	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(7)	3.5	7	1	0.424851899999965	normal	short	slowfast	1	1
292.4335024	1	12	viz.VizPrimitive(8)	1.75	7	viz.VizPrimitive(5)	3.5	7	1	0.499761999999976	normal	short	slowfast	1	1
336.6479559	1	14	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(7)	0.7	7	1	0.400665099999969	slow	short	slowfast	1	0
374.2429943	1	15	viz.VizPrimitive(6)	3.5	35	viz.VizPrimitive(8)	1.75	35	0	0.76362499999999	normal	long	fastslow	1	2
412.182412	1	16	viz.VizPrimitive(7)	3.5	7	viz.VizPrimitive(5)	1.75	7	0	0.246798399999989	normal	short	fastslow	1	1
425.6323436	1	17	viz.VizPrimitive(6)	1.75	7	viz.VizPrimitive(5)	3.5	7	1	0.481030099999998	normal	short	slowfast	1	1
439.2930535	1	18	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(6)	0.7	7	1	0.304088799999988	slow	short	slowfast	1	0
476.7880986	1	19	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(6)	3.5	35	1	0.333066900000006	normal	long	slowfast	1	2
544.9367902	1	21	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(5)	0.35	7	0	0.717365099999938	slow	short	fastslow	1	0
613.5965274	1	23	viz.VizPrimitive(8)	3.5	35	viz.VizPrimitive(7)	1.75	35	1	0.800322800000004	normal	long	fastslow	0	2
712.8096041	1	26	viz.VizPrimitive(8)	3.5	35	viz.VizPrimitive(5)	1.75	35	0	0.470506	normal	long	fastslow	1	2
750.4714009	1	27	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(7)	0.7	7	1	1.54971550000005	slow	short	slowfast	1	0
789.2214384	1	28	viz.VizPrimitive(5)	1.75	35	viz.VizPrimitive(8)	3.5	35	1	0.548956399999952	normal	long	slowfast	1	2
832.0698417	1	29	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(5)	1.75	35	0	0.433506299999976	normal	long	fastslow	1	2
869.6871129	1	30	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(5)	3.5	35	1	0.333066799999983	normal	long	slowfast	1	2
907.2267374	1	31	viz.VizPrimitive(8)	1.75	7	viz.VizPrimitive(6)	3.5	7	1	0.433903099999952	normal	short	slowfast	1	1
920.8541486	1	32	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(6)	0.35	7	0	0.944254499999943	slow	short	fastslow	1	0
989.5692725	1	34	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(6)	0.7	7	1	1.35406850000004	slow	short	slowfast	1	0
1028.097277	1	35	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	0	0.96622810000008	normal	long	fastslow	1	2
1066.2476441	1	36	viz.VizPrimitive(7)	3.5	7	viz.VizPrimitive(5)	1.75	7	0	0.66572199999996	normal	short	fastslow	1	1
1080.1084868	1	37	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(7)	0.35	7	0	0.958905100000038	slow	short	fastslow	1	0
1118.2588144	1	38	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(6)	0.7	7	1	0.391916599999831	slow	short	slowfast	1	0
1155.8539535	1	39	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(6)	0.35	7	0	0.375867900000003	slow	short	fastslow	1	0
1193.4268581	1	40	viz.VizPrimitive(6)	1.75	35	viz.VizPrimitive(7)	3.5	35	1	0.332824999999957	normal	long	slowfast	1	2
1230.9553372	1	41	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(5)	0.35	7	0	0.312367199999926	slow	short	fastslow	1	0
1268.4613973	1	42	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(5)	0.35	7	0	0.37616509999998	slow	short	fastslow	1	0
1306.0120623	1	43	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(7)	0.35	7	0	5.97468350000008	slow	short	fastslow	1	0
1349.182639	1	44	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(8)	1.75	35	0	0.433053799999925	normal	long	fastslow	1	2
1386.7997534	1	45	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(7)	3.5	7	1	0.766102600000067	normal	short	slowfast	1	1
1400.7604448	1	46	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(5)	0.7	7	1	1.4896540000002	slow	short	slowfast	1	0
1439.4439816	1	47	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(6)	1.75	7	1	1.12354119999986	normal	short	fastslow	0	1
1453.7711719	1	48	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(8)	0.7	7	1	0.488517800000182	slow	short	slowfast	1	0
1491.4440008	1	49	viz.VizPrimitive(7)	1.75	7	viz.VizPrimitive(5)	3.5	7	1	0.277530800000022	normal	short	slowfast	1	1
1504.9160578	1	50	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(7)	3.5	7	1	1.71429180000018	normal	short	slowfast	1	1
1519.8318595	1	51	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(6)	3.5	7	1	0.622188499999993	normal	short	slowfast	1	1
1533.6593096	1	52	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(6)	3.5	35	1	0.366886099999874	normal	long	slowfast	1	2
1571.2210653	1	53	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(8)	3.5	7	1	0.233210899999904	normal	short	slowfast	1	1
1584.6488115	1	54	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(5)	0.7	7	1	2.37066949999985	slow	short	slowfast	1	0
1624.2095765	1	55	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	0	1.46334359999992	normal	long	fastslow	1	2
1662.8709634	1	56	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(6)	0.7	7	1	0.277706299999863	slow	short	slowfast	1	0
